measure_name,measure_value,year,period_number_in_year
Number of Consumer Bankruptcies for the City of Toronto,163,2018,1
Number of Consumer Bankruptcies for the City of Toronto,197,2018,2
Number of Consumer Bankruptcies for the City of Toronto,219,2018,3
Number of Consumer Bankruptcies for the City of Toronto,235,2018,4
Number of Consumer Bankruptcies for the City of Toronto,253,2018,5
Number of Consumer Bankruptcies for the City of Toronto,221,2018,6
Number of Consumer Bankruptcies for the City of Toronto,215,2018,7
Number of Consumer Bankruptcies for the City of Toronto,177,2018,8
Number of Consumer Bankruptcies for the City of Toronto,188,2018,9
Number of Consumer Bankruptcies for the City of Toronto,230,2018,10
Number of Consumer Bankruptcies for the City of Toronto,188,2018,11
Number of Consumer Bankruptcies for the City of Toronto,160,2018,12
Number of Consumer Bankruptcies for the City of Toronto,163,2019,1
Number of Consumer Bankruptcies for the City of Toronto,160,2019,2
Number of Consumer Bankruptcies for the City of Toronto,207,2019,3
Number of Consumer Bankruptcies for the City of Toronto,238,2019,4
Number of Consumer Bankruptcies for the City of Toronto,263,2019,5
Number of Consumer Bankruptcies for the City of Toronto,220,2019,6
Number of Consumer Bankruptcies for the City of Toronto,224,2019,7
Number of Consumer Bankruptcies for the City of Toronto,211,2019,8
Number of Consumer Bankruptcies for the City of Toronto,209,2019,9
Number of Consumer Bankruptcies for the City of Toronto,208,2019,10
Number of Consumer Bankruptcies for the City of Toronto,192,2019,11
Number of Consumer Bankruptcies for the City of Toronto,202,2019,12
Number of Consumer Bankruptcies for the City of Toronto,195,2020,1
Number of Consumer Bankruptcies for the City of Toronto,175,2020,2
Number of Consumer Bankruptcies for the City of Toronto,175,2020,3
Number of Consumer Bankruptcies for the City of Toronto,109,2020,4
Number of Consumer Bankruptcies for the City of Toronto,112,2020,5
Number of Consumer Bankruptcies for the City of Toronto,132,2020,6
Number of Consumer Bankruptcies for the City of Toronto,119,2020,7
Number of Consumer Bankruptcies for the City of Toronto,110,2020,8
Number of Consumer Bankruptcies for the City of Toronto,133,2020,9
Number of Consumer Bankruptcies for the City of Toronto,119,2020,10
Number of Consumer Bankruptcies for the City of Toronto,144,2020,11
Number of Consumer Bankruptcies for the City of Toronto,152,2020,12
Number of Consumer Bankruptcies for the City of Toronto,96,2021,1
Number of Consumer Bankruptcies for the City of Toronto,101,2021,2
Number of Consumer Bankruptcies for the City of Toronto,123,2021,3
Number of Consumer Bankruptcies for the City of Toronto,133,2021,4
Number of Consumer Bankruptcies for the City of Toronto,105,2021,5
Number of Consumer Bankruptcies for the City of Toronto,136,2021,6
Number of Consumer Bankruptcies for the City of Toronto,106,2021,7
Number of Consumer Bankruptcies for the City of Toronto,121,2021,8
Number of Consumer Bankruptcies for the City of Toronto,100,2021,9
Number of Consumer Bankruptcies for the City of Toronto,108,2021,10
Number of Consumer Bankruptcies for the City of Toronto,127,2021,11
Number of Consumer Bankruptcies for the City of Toronto,117,2021,12
Number of Consumer Bankruptcies for the City of Toronto,70,2022,1
Number of Consumer Bankruptcies for the City of Toronto,81,2022,2
Number of Consumer Bankruptcies for the City of Toronto,122,2022,3
Number of Consumer Bankruptcies for the City of Toronto,110,2022,4
Number of Consumer Bankruptcies for the City of Toronto,120,2022,5
Number of Consumer Bankruptcies for the City of Toronto,120,2022,6
Number of Consumer Bankruptcies for the City of Toronto,95,2022,7
Number of Consumer Bankruptcies for the City of Toronto,111,2022,8
Number of Consumer Bankruptcies for the City of Toronto,117,2022,9
Number of Consumer Bankruptcies for the City of Toronto,94,2022,10
Number of Consumer Bankruptcies for the City of Toronto,140,2022,11
Number of Consumer Bankruptcies for the City of Toronto,99,2022,12
Number of Consumer Bankruptcies for the City of Toronto,95,2023,1
Number of Consumer Bankruptcies for the City of Toronto,99,2023,2
Number of Consumer Bankruptcies for the City of Toronto,95,2023,3
Number of Consumer Bankruptcies for the City of Toronto,124,2023,4
Number of Consumer Bankruptcies for the City of Toronto,145,2023,5
Number of Consumer Bankruptcies for the City of Toronto,133,2023,6
Number of Consumer Bankruptcies for the City of Toronto,126,2023,7
Number of Consumer Bankruptcies for the City of Toronto,143,2023,8
Number of Consumer Bankruptcies for the City of Toronto,111,2023,9
Number of Consumer Bankruptcies for the City of Toronto,125,2023,10
Number of Consumer Bankruptcies for the City of Toronto,140,2023,11
Number of Consumer Bankruptcies for the City of Toronto,123,2023,12
Number of Consumer Bankruptcies for the City of Toronto,137,2024,1
Number of Consumer Bankruptcies for the City of Toronto,129,2024,2
Number of Consumer Bankruptcies for the City of Toronto,145,2024,3
Number of Consumer Bankruptcies for the City of Toronto,173,2024,4
Number of Consumer Bankruptcies for the City of Toronto,197,2024,5
Number of Consumer Bankruptcies for the City of Toronto,158,2024,6
Number of Consumer Bankruptcies for the City of Toronto,130,2024,7
Number of Consumer Bankruptcies for the City of Toronto,151,2024,8
Number of Consumer Bankruptcies for the City of Toronto,124,2024,9
