"","_id","measure_id","measure_name","interval_type","value_type","measure_value","year_to_date_variance","budget_variance","decimal_accuracy","desired_direction","category","data_source_notes","city_perspective_note","year","period_number_in_year","target","note"
"1",1,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",163,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,1,NA,NA
"2",2,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",197,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,2,NA,NA
"3",3,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",219,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,3,NA,NA
"4",4,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",235,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,4,NA,NA
"5",5,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",253,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,5,NA,NA
"6",6,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",221,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,6,NA,NA
"7",7,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",215,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,7,NA,NA
"8",8,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",177,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,8,NA,NA
"9",9,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",188,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,9,NA,NA
"10",10,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",230,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,10,NA,NA
"11",11,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",188,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,11,NA,NA
"12",12,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",160,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2018,12,NA,NA
"13",13,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",163,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,1,NA,NA
"14",14,1.131,"Number of Consumer Bankruptcies for the City of Toronto","m","n",160,0.05,NA,0,"Down","Community Vulnerability","Source: Office of the Superintendent of Bankruptcy Canada (OSBC)","",2019,2,NA,NA
