month_id,year,month,measure_value,budget_variance,unemployment_rate,interest_rate,major_economic_event
1,2008,1,7440,-0.01,3.8,3.1,None
2,2008,2,9487,0.11,7.6,4,None
3,2008,3,9760,0.06,6,3.8,None
4,2008,4,11216.4,-0.01,6.7,3.9,Recession
5,2008,5,7682,-0.15,6.2,3.6,None
6,2008,6,4528.8,-0.05,7.4,3.9,Policy Change
7,2008,7,2455,-0.05,6.2,4.2,None
8,2008,8,653,0,7,4.5,None
9,2008,9,0,0.13,6.1,3.5,Policy Change
10,2008,10,673,0.23,5.4,2.4,None
11,2008,11,3016.7999999999997,0.15,7.7,3.5,Recession
12,2008,12,5007,-0.01,7.2,3.6,None
13,2009,1,7068,-0.18,8.2,3.4,None
14,2009,2,9025,-0.04,6.6,3.8,None
15,2009,3,9610,0.01,7.6,4,None
16,2009,4,10628.4,0.08,8.5,3.2,Recession
17,2009,5,7077,0.1,6.2,3.4,None
18,2009,6,4735,0.07,5.2,3.7,None
19,2009,7,2340,-0.14,6.3,3.2,None
20,2009,8,635,0.08,6.3,3.5,None
21,2009,9,0,-0.04,6.7,2.5,Policy Change
22,2009,10,626,0.02,8.2,2.9,None
23,2009,11,2337,0.01,6.2,2.8,None
24,2009,12,4255.2,0.04,6.9,3.1,Policy Change
25,2010,1,8066.4,0,6.3,3.2,Recession
26,2010,2,8380,-0.17,6.5,3.7,None
27,2010,3,9104,0.07,6.8,4,None
28,2010,4,10173.6,0.04,7.8,3.1,Recession
29,2010,5,6122.7,-0.03,6.6,3,Policy Change
30,2010,6,5395.2,0.01,7.2,3,Recession
31,2010,7,2259,0.01,7.3,3.3,None
32,2010,8,532.8000000000001,0.02,7.4,3.4,Policy Change
33,2010,9,0,0.16,5.9,3.7,None
34,2010,10,601,-0.02,8.1,3.3,None
35,2010,11,2288,0.02,6.1,2.5,None
36,2010,12,4428,0.12,6.4,3.5,None
37,2011,1,7693.2,0.11,7.9,4.1,Recession
38,2011,2,9397.199999999999,0.11,7.8,4.1,Recession
39,2011,3,7641,-0.06,5.4,3.1,Policy Change
40,2011,4,7881,0.2,5.6,2.7,None
41,2011,5,5733,0.01,5.1,4.7,Policy Change
42,2011,6,5119.2,0.19,6.7,3.4,Recession
43,2011,7,2511.6,-0.14,6.7,3.5,Recession
44,2011,8,557,0,6.9,3.7,None
45,2011,9,0,0.12,7.1,2.7,Policy Change
46,2011,10,571,-0.07,5.9,3.1,None
47,2011,11,2563.2,-0.08,5.5,2.7,Recession
48,2011,12,4219,-0.09,7.5,3.2,None
49,2012,1,6182,-0.11,7.3,3.6,None
50,2012,2,6589.8,-0.04,5,2.8,Policy Change
51,2012,3,8034,0.03,6.4,3.8,None
52,2012,4,7510,-0.2,5.6,3.6,None
53,2012,5,6004,0.02,4.4,3,None
54,2012,6,4052,0.12,6.7,3.6,None
55,2012,7,2058,0.2,6.4,3.9,None
56,2012,8,478.8,0.13,6.4,4,Policy Change
57,2012,9,0,0.08,6.7,3.4,Recession
58,2012,10,530,-0.17,7.4,3.5,None
59,2012,11,2420.4,-0.06,6.7,3.5,Recession
60,2012,12,3599.1,-0.04,5.9,4.2,Policy Change
61,2013,1,5570,0.07,5.8,4.1,None
62,2013,2,7014,-0.01,6.4,3.9,None
63,2013,3,7485,-0.13,6.8,3.4,None
64,2013,4,6960,0.17,5.5,3.7,None
65,2013,5,5595,0.09,6.3,3.7,None
66,2013,6,3709,0.02,7.5,3,None
67,2013,7,1884,0.12,6.4,2.6,None
